ROI,t_statistic,Cohen_d,p_value,p_fdr
SA_bankssts,-4.558841133818153,0.8083009663993068,1.4461229640606274e-05,0.00024584090389030667
SA_caudalanteriorcingulate,-0.9026446197673538,0.12778687281407555,0.3688622260434469,0.4644931735361924
SA_caudalmiddlefrontal,0.3479753633343171,-0.049399656365310275,0.7285828792926693,0.7990908998693792
SA_cuneus,-1.1067330706574259,0.17838713487904426,0.27103835004804594,0.3839709959013984
SA_entorhinal,-0.08509689977650231,0.03369958438838026,0.9323528109929696,0.9323528109929696
SA_fusiform,-2.6604686816949807,0.4068685561029478,0.009077597463302622,0.04409118767889845
SA_inferiorparietal,-2.9664565474149267,0.48977583657525514,0.0037603893434642387,0.03196330941944603
SA_inferiortemporal,-1.4969463693523366,0.22409228702065398,0.13752580895303773,0.20948283784637395
SA_isthmuscingulate,-2.245202921047163,0.37650360458276055,0.026934869213247236,0.069896020598065
SA_lateraloccipital,-0.2127682010561929,0.0285256104489016,0.8319366138587404,0.8835466246002315
SA_lateralorbitofrontal,-3.78467910170672,0.6490123769477887,0.0002612580997979688,0.0029609251310436465
SA_lingual,-1.796340097685021,0.3327198381793727,0.07542996351519148,0.14247881997313946
SA_medialorbitofrontal,-2.3788641268541566,0.33087154884365444,0.019245430618487963,0.06123176070000333
SA_middletemporal,-4.711630504183713,0.7621329651731731,7.868117331917643e-06,0.00024584090389030667
SA_parahippocampal,-2.3099974264544025,0.3803928283230329,0.02292291823669237,0.06494826833729504
SA_paracentral,-2.2181998565818866,0.4095894049951083,0.02878071436390912,0.069896020598065
SA_parsopercularis,-0.7838002405145895,0.13726080399236543,0.43499160039357876,0.5133527649770632
SA_parsorbitalis,-1.9529500049141018,0.3463684493139754,0.053592930560783715,0.1138849774416654
SA_parstriangularis,-2.025848528230795,0.3584691232470333,0.04541741312773986,0.10294613642287702
SA_pericalcarine,-0.4646716125269457,0.08321103708930395,0.6431668073671737,0.7289223816827969
SA_postcentral,-1.8388896039519462,0.29599422002462517,0.06886952782471475,0.1377390556494295
SA_posteriorcingulate,-1.6137836444543214,0.2630964858265706,0.10969448324679722,0.18648062151955527
SA_precentral,-1.710458962265593,0.2955721850643645,0.09025111748364459,0.16150199970757453
SA_precuneus,-1.0390534931346957,0.15689961735642707,0.3012609333547665,0.4097148693624824
SA_rostralanteriorcingulate,-1.481039706027117,0.2314007913131905,0.14170897854313533,0.20948283784637395
SA_rostralmiddlefrontal,-0.9713334963717876,0.1431279060726862,0.3337027051922339,0.43638046063599817
SA_superiorfrontal,-2.3675671791376054,0.38269657628704545,0.019810275520589313,0.06123176070000333
SA_superiorparietal,-2.7633543858666556,0.45568794501848486,0.0067998038041367686,0.04026897989794486
SA_superiortemporal,-0.7789000753544676,0.1089566561250298,0.4378597113039656,0.5133527649770632
SA_supramarginal,-2.7478275945106767,0.44798556693947794,0.007106290570225564,0.04026897989794486
SA_frontalpole,0.17994030641649766,-0.055818854811530455,0.8575599591708128,0.8835466246002315
SA_temporalpole,2.3926646993050014,-0.4511621481340684,0.018574821925937093,0.06123176070000333
SA_transversetemporal,-2.371654520318613,0.44458808973838876,0.019604235340194814,0.06123176070000333
SA_insula,-1.5484059366662009,0.24431252477994414,0.12465243114613751,0.2018182218556512
