ROI,t_statistic,Cohen_d,p_value,p_fdr
CT_bankssts,-1.7236383726073665,0.13606598559458377,0.08482510379491069,0.19979831161958136
CT_caudalanteriorcingulate,2.4677648311977114,-0.17084900651247945,0.013623895640510367,0.0911406854706167
CT_caudalmiddlefrontal,-1.7474128018389488,0.13208919084797607,0.080617353645374,0.19979831161958136
CT_cuneus,1.6208008736196873,-0.10020295988608065,0.10511334910114775,0.22336586683993898
CT_entorhinal,1.7421826017391515,-0.12532630640852185,0.08152817592509724,0.19979831161958136
CT_fusiform,-0.6637240873366438,0.06152481456074032,0.5068926399048344,0.7180979065318486
CT_inferiorparietal,-1.3245237563774135,0.11357414909778281,0.18538003812653925,0.35016229423901857
CT_inferiortemporal,-0.210539391009671,0.02356814238984073,0.8332539215706238,0.9391995982460379
CT_isthmuscingulate,2.137647097077,-0.14770955427212829,0.03258603973357549,0.11079253509415667
CT_lateraloccipital,2.84483470537452,-0.19882316738738198,0.004458624186642406,0.0505310741152806
CT_lateralorbitofrontal,0.8101025849621459,-0.043924834940650775,0.4179136216727857,0.6458665062215778
CT_lingual,-0.19569960303050576,0.032263123285490754,0.8448519789231737,0.9391995982460379
CT_medialorbitofrontal,1.1277288053935484,-0.0651463881904831,0.25947994895366466,0.46433254023287357
CT_middletemporal,-4.237887961768935,0.3209569806604343,2.290436770197377e-05,0.0007787485018671082
CT_parahippocampal,2.3363086263485813,-0.1622231909582397,0.0195081947417601,0.0911406854706167
CT_paracentral,-0.22067526422350361,0.0258015762531902,0.8253528657431777,0.9391995982460379
CT_parsopercularis,1.3465878358563783,-0.09378021529574929,0.17816431372719063,0.35016229423901857
CT_parsorbitalis,-3.3172703000660064,0.25335764059334714,0.0009144711667394964,0.01554600983457144
CT_parstriangularis,-2.2987774194066173,0.18029167968621895,0.02155208116081606,0.0911406854706167
CT_pericalcarine,2.5034742131149073,-0.17451128846480402,0.012324646446577344,0.0911406854706167
CT_postcentral,0.3532495690728822,-0.012437661725118085,0.7239138658386415,0.9391995982460379
CT_posteriorcingulate,0.13104711201184963,0.00043182202765329334,0.8957424699214676,0.9391995982460379
CT_precentral,-1.078850041671516,0.07615479336033587,0.28069832253396604,0.4771871483077422
CT_precuneus,1.0368649924308129,-0.05512194029806089,0.29984092382657507,0.48545673381445487
CT_rostralanteriorcingulate,0.11105550248893085,0.0037306662945923064,0.9115760806505663,0.9391995982460379
CT_rostralmiddlefrontal,-2.255701999462664,0.1813276442196532,0.024125475565751477,0.0911406854706167
CT_superiorfrontal,-1.7055381091074542,0.1335682480467212,0.0881463139498153,0.19979831161958136
CT_superiorparietal,0.24409313272131128,-0.0019001791840834118,0.8071671084236718,0.9391995982460379
CT_superiortemporal,2.2923878318448745,-0.1609573349350925,0.021918022365005334,0.0911406854706167
CT_supramarginal,0.6998808799426007,-0.04090030480176005,0.48402906538869583,0.7155212270963329
CT_frontalpole,-0.17699327177855195,0.02586101851000013,0.8595196997685656,0.9391995982460379
CT_temporalpole,-0.593968314504955,0.047131660468113276,0.5525558902434844,0.7514760107311387
CT_transversetemporal,0.024745914437648446,0.008026405176265052,0.9802584618266912,0.9802584618266912
CT_insula,-2.0485023342164492,0.16043449573203028,0.04055459483926684,0.12535056586682478
